measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),18,Thailand,3,Both,22,All ages,491,Cardiovascular diseases,87,Household air pollution from solid fuels,1,Number,2016,109634.31940589691,208641.3298960835,48468.95057798976
4,YLLs (Years of Life Lost),208,Guinea,1,Male,22,All ages,962,Maternal and neonatal disorders,87,Household air pollution from solid fuels,1,Number,2015,120749.45851466958,171890.2684832602,76238.20196810525
4,YLLs (Years of Life Lost),208,Guinea,2,Female,22,All ages,962,Maternal and neonatal disorders,87,Household air pollution from solid fuels,1,Number,2015,79292.75830541519,122956.60712616361,36447.080683911314
4,YLLs (Years of Life Lost),208,Guinea,3,Both,22,All ages,962,Maternal and neonatal disorders,87,Household air pollution from solid fuels,1,Number,2015,200042.2168200848,284693.593563944,130120.20729767684
4,YLLs (Years of Life Lost),422,United States Virgin Islands,1,Male,22,All ages,640,Other non-communicable diseases,87,Household air pollution from solid fuels,1,Number,2015,0.0012025266224574543,0.006619538017639205,0.0
4,YLLs (Years of Life Lost),422,United States Virgin Islands,2,Female,22,All ages,640,Other non-communicable diseases,87,Household air pollution from solid fuels,1,Number,2015,0.0011792922019869402,0.00648994262860287,0.0
4,YLLs (Years of Life Lost),422,United States Virgin Islands,3,Both,22,All ages,640,Other non-communicable diseases,87,Household air pollution from solid fuels,1,Number,2015,0.0023818188244443964,0.011891124606192014,0.0
4,YLLs (Years of Life Lost),176,Comoros,1,Male,22,All ages,956,Respiratory infections and tuberculosis,87,Household air pollution from solid fuels,1,Number,2015,3763.810618274944,5903.186292764736,2152.051697190015
4,YLLs (Years of Life Lost),176,Comoros,2,Female,22,All ages,956,Respiratory infections and tuberculosis,87,Household air pollution from solid fuels,1,Number,2015,5001.960347698379,7551.899247757638,2907.113975401758
4,YLLs (Years of Life Lost),176,Comoros,3,Both,22,All ages,956,Respiratory infections and tuberculosis,87,Household air pollution from solid fuels,1,Number,2015,8765.770965973314,13096.626179641293,5219.103844546883
